,class,height,width,object_angle,distance
0,Pedestrian,98.33000000000004,164.92000000000002,-0.2,8.41
1,Cyclist,12.379999999999995,29.980000000000018,-1.65,45.84
2,Pedestrian,30.70999999999998,59.89999999999998,1.94,23.02
3,Cyclist,25.00999999999999,37.50999999999999,1.89,34.09
4,Pedestrian,20.139999999999986,61.599999999999994,1.41,23.51
5,Pedestrian,53.67000000000007,114.85999999999999,0.3,12.42
6,Pedestrian,59.74000000000001,103.97,0.29,13.43
7,Pedestrian,15.330000000000041,38.30000000000001,-0.39,34.08
8,Pedestrian,27.669999999999987,71.30000000000001,2.02,15.95
9,Pedestrian,79.63000000000011,183.35,0.71,7.59
10,Pedestrian,17.899999999999977,52.60000000000002,-1.58,24.14
11,Pedestrian,19.800000000000068,54.890000000000015,-1.59,24.22
12,Pedestrian,23.059999999999945,56.25999999999999,-1.46,23.3
13,Cyclist,184.83999999999992,183.5,-2.22,3.14
14,Cyclist,12.909999999999968,30.720000000000027,-1.66,44.76
15,Cyclist,9.799999999999955,29.769999999999982,1.6,44.63
16,Pedestrian,58.0,153.21,-2.45,8.51
17,Cyclist,52.479999999999905,57.99000000000001,-2.46,22.1
18,Pedestrian,10.0,50.360000000000014,0.21,23.11
19,Pedestrian,9.330000000000041,29.629999999999995,1.13,42.82
20,Pedestrian,30.910000000000025,91.66999999999999,-1.73,12.56
21,Pedestrian,32.14000000000004,97.97,-1.59,12.34
22,Pedestrian,26.360000000000014,68.16,1.19,20.51
23,Pedestrian,25.879999999999995,69.66999999999999,1.09,20.3
24,Pedestrian,28.25,76.07,-1.58,16.82
25,Pedestrian,31.24000000000001,78.80000000000001,-1.66,17.03
26,Pedestrian,29.329999999999984,81.5,-1.42,16.26
27,Cyclist,21.829999999999927,44.09,1.73,30.42
28,Pedestrian,144.34000000000003,185.95,-2.06,4.71
29,Pedestrian,16.329999999999927,36.51000000000002,-1.88,32.55
30,Cyclist,48.90999999999997,75.23000000000002,-1.91,17.38
31,Pedestrian,71.95999999999992,174.83,2.83,7.8
