,class,height,width,object_angle,distance
0,Truck,30.340000000000032,32.849999999999994,-1.57,69.44
1,Car,36.18000000000001,21.580000000000013,1.85,58.49
2,Car,42.680000000000064,33.25999999999999,-1.67,34.38
3,Car,113.06999999999994,102.98999999999998,1.55,13.22
4,Car,64.51999999999998,30.49000000000001,1.96,38.26
5,Car,40.97000000000003,20.659999999999997,1.88,51.17
6,Car,24.399999999999977,23.089999999999975,-1.55,48.22
7,Car,70.19000000000005,40.81,-1.21,31.73
8,Car,177.71999999999997,61.31,0.15,19.72
9,Car,68.57,33.50999999999999,2.05,38.44
10,Car,51.809999999999945,50.150000000000006,-1.56,25.01
11,Car,30.95999999999998,22.329999999999984,1.71,47.55
12,Car,23.220000000000027,18.23999999999998,1.64,60.52
13,Car,402.31,181.63,-0.69,3.68
14,Car,289.65,193.10000000000002,2.04,7.86
15,Car,303.71000000000004,176.61,-1.84,6.15
16,Car,123.30999999999995,84.95999999999998,-1.33,14.44
17,Car,51.07000000000005,39.599999999999994,1.74,33.2
18,Car,71.88999999999999,61.870000000000005,-1.65,19.96
19,Car,57.18999999999994,52.5,-1.5,23.88
20,Car,24.50999999999999,16.22,1.75,66.37
21,Car,23.470000000000027,15.370000000000005,1.78,68.25
22,Car,227.61,191.54,-2.09,5.2
23,Car,195.08999999999997,108.97,1.95,11.8
24,Car,107.22000000000003,73.44,-1.78,16.5
25,Car,78.21000000000004,52.5,-1.69,22.05
26,Car,76.5,51.57000000000002,1.8,23.64
27,Car,53.950000000000045,39.48999999999998,1.77,29.07
28,Car,55.389999999999986,42.06,-1.67,28.53
29,Car,43.47000000000003,28.789999999999992,1.92,42.85
30,Car,60.65999999999997,54.78,1.74,26.64
31,Car,85.92,156.88,2.42,4.13
32,Car,28.00999999999999,19.180000000000007,-1.84,58.84
33,Van,33.53000000000003,29.27000000000001,1.7,65.02
34,Car,78.10999999999996,58.04999999999998,1.74,20.13
35,Car,28.360000000000014,18.170000000000016,1.73,59.81
36,Car,414.71,178.3,2.29,4.1
37,Car,33.14999999999998,22.78,-1.45,44.41
38,Truck,348.92,161.55,2.11,26.41
39,Car,49.360000000000014,33.06999999999999,-1.4,33.13
40,Car,386.2,180.44,-0.72,6.05
41,Car,33.03000000000003,23.430000000000007,1.82,46.74
42,Car,63.32000000000005,26.22999999999999,-2.23,47.16
43,Car,27.24000000000001,24.859999999999985,-1.59,47.02
44,Van,34.30000000000007,33.43000000000001,-1.68,47.11
45,Truck,424.74,374.0,2.07,5.46
46,Car,202.14999999999998,136.89999999999998,-1.81,9.72
47,Van,44.31000000000006,43.28,-1.64,35.34
48,Car,24.409999999999968,20.22999999999999,-1.48,59.59
49,Car,119.63,76.77999999999997,-1.77,15.58
50,Car,156.86999999999995,91.67000000000002,1.9,13.3
51,Car,115.07000000000005,83.12,1.82,17.6
52,Van,230.4699999999999,98.63,-0.47,21.3
53,Car,66.00999999999999,44.03999999999999,-1.72,25.97
54,Car,61.83000000000004,50.56,1.74,26.83
55,Car,55.8900000000001,43.25,-1.69,32.13
56,Car,43.55000000000007,40.47,1.69,31.78
57,Car,90.24000000000001,37.72,-1.11,31.72
58,Car,99.19999999999999,40.18000000000001,-1.04,31.61
59,Truck,30.41999999999996,32.93000000000001,-1.57,69.29
60,Car,39.25999999999999,23.04000000000002,1.86,55.08
61,Car,47.129999999999995,33.66,-1.73,36.37
62,Car,36.75,27.659999999999997,-1.67,38.09
63,Car,27.829999999999984,20.370000000000005,-1.65,52.01
64,Car,344.89,155.83,-2.1,3.14
65,Car,185.93,125.44999999999999,-1.29,10.42
66,Car,56.00999999999999,43.900000000000006,1.75,30.18
67,Car,81.17999999999995,71.03,-1.69,17.48
68,Car,59.17000000000007,49.21000000000001,-1.62,22.3
69,Truck,70.67000000000007,56.559999999999974,1.8,37.22
70,Car,20.719999999999914,16.810000000000002,-1.67,68.34
71,Van,298.42999999999995,197.12999999999997,2.06,12.9
72,Car,16.190000000000055,12.879999999999995,-1.58,73.46
73,Car,37.85000000000002,30.03,-1.71,41.53
74,Car,29.190000000000055,26.039999999999992,1.58,41.9
75,Car,155.74,116.83000000000001,-1.35,12.2
76,Car,242.9699999999999,161.08,-1.93,8.46
77,Car,136.84000000000003,97.97,-1.8,13.14
78,Truck,93.85999999999996,96.67000000000002,1.71,22.27
79,Car,52.26999999999998,43.31,-1.64,26.41
80,Van,28.409999999999968,28.870000000000005,-1.62,51.9
81,Car,257.37,155.37,1.96,9.0
82,Car,238.19000000000005,153.07,-1.91,8.6
83,Van,148.49,123.14000000000001,1.8,14.34
84,Car,151.48000000000002,93.39000000000001,-1.79,13.47
85,Car,68.31999999999994,57.370000000000005,-1.58,19.85
86,Van,249.01999999999998,89.41,-2.65,22.71
87,Car,81.15999999999997,55.22999999999999,-1.35,25.25
88,Van,32.07999999999993,33.91,-1.61,44.71
89,Van,136.41000000000008,51.91999999999999,-0.31,39.04
90,Car,36.76999999999998,25.409999999999997,-1.45,44.75
91,Car,18.50999999999999,14.670000000000016,-1.58,64.47
92,Car,234.52,132.64000000000001,2.17,10.15
93,Car,282.22999999999996,89.93999999999997,0.5,14.12
94,Car,55.160000000000025,22.170000000000016,-2.99,49.04
95,Car,27.110000000000014,26.789999999999992,-1.58,46.7
96,Car,103.79000000000002,83.62999999999997,-1.4,16.31
97,Car,85.45999999999998,46.140000000000015,1.95,27.71
98,Car,140.51,133.15,-1.58,10.13
99,Car,49.22999999999996,24.069999999999993,1.89,46.01
100,Car,50.89999999999998,24.370000000000005,2.03,44.69
101,Car,42.51999999999998,22.310000000000002,1.82,50.4
102,Car,144.23000000000002,45.81999999999999,2.67,26.68
103,Car,86.56999999999994,44.150000000000006,2.53,26.55
104,Car,117.88000000000011,160.22,-2.06,4.08
105,Car,72.84000000000003,66.41000000000003,-1.57,19.43
106,Truck,485.16999999999996,375.0,-1.25,10.25
107,Car,62.660000000000025,42.859999999999985,-1.46,24.49
108,Car,45.469999999999914,43.02000000000001,-1.59,28.28
109,Car,345.65,215.45,-1.27,6.69
110,Car,220.36,125.41,-1.13,10.4
111,Car,190.85000000000002,85.31,-1.01,14.02
112,Car,32.19999999999999,20.5,1.73,50.9
113,Car,106.70999999999998,61.650000000000006,1.9,18.66
114,Car,114.27999999999997,47.30000000000001,-0.87,24.75
115,Car,85.86999999999989,34.400000000000006,-0.94,31.46
116,Van,67.0,30.980000000000018,-0.92,46.13
117,Car,38.06,24.419999999999987,1.8,52.04
118,Car,31.02000000000004,20.960000000000008,1.79,58.61
119,Car,24.370000000000005,18.25,1.81,59.96
120,Car,352.1,180.53,1.9,7.17
121,Car,93.35000000000002,72.58000000000001,-1.72,16.67
122,Car,40.66000000000008,34.99000000000001,1.64,33.82
123,Car,49.69999999999993,40.0,1.46,29.48
124,Car,24.629999999999995,22.53,1.58,48.95
125,Car,27.74000000000001,25.169999999999987,-1.62,49.29
